house_id,region_id,area_id,city_id,street_id,shortname_region,formalname_region,shortname_area,formalname_area,shortname_city,formalname_city,shortname_street,formalname_street,house_number,building,block,letter,address,houseguid,cadastral_number,cadastral_registration_date,stage,built_year,exploitation_start_year,project_type,house_type,floor_count_max,floor_count_min,entrance_count,residents_count,area_total,area_residential,area_non_residential,area_common_property,area_land,monument_status,monument_document_date,monument_document_number,deterioration_total,determined_date,floor_type,wall_material,alarm_reason,alarm_reason_other,alarm_document_number,alarm_document_date,alarm_has_file,exp_name,exp_document_number,exp_document_date,exp_has_file,commission_document_number,commission_document_date,commission_has_file,further_use,decision_deadline_date,planned_resettlement_date,actual_resettlement_date,planned_demolition_date,planned_rooms_count,planned_rooms_square,planned_ppl_count,resettled_rooms_count,resettled_rooms_square,resettled_ppl_count,empty_rooms_count,empty_rooms_square,redemption_amount,planned_providing_area_square,address2,rest,rest,,
9090614,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,36a4e8b6-5c87-4f67-9ea1-12ac63f32939,обл,Свердловская,,г. Алапаевск,г,Алапаевск,км,123,3,,,,"обл. Свердловская, г. Алапаевск, км. 123, д. 3",06dacfc8-bcdf-a6d0-4b39-96574a1f05fa,,,Эксплуатируемый,1911,1911,,Многоквартирный дом,1,1,0,8,"110,5","110,5",0,0,,Не имеется,,,80,5/17/2018,,,Физический износ,,1214-П,10/1/2018,Имеется,,б/н,4/26/2018,Имеется,10,9/17/2018,Имеется,Снос,,9/17/2023,,12/31/2024,6,"110,5",8,,,,,,,,обл. Свердловская,км. 123,д. 3,,
7784744,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,e1112f73-1bf0-4674-87ad-0c51cb1587a0,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,19 Партсъезда,4,,,,"обл. Свердловская, г. Алапаевск, ул. 19 Партсъезда, д. 4",58e922ea-1c7b-4b7f-ab20-6053d8c48a0a,66:32:0409001:28,1/22/2009,Эксплуатируемый,1951,1951,,Многоквартирный дом,2,1,1,23,"493,9","425,8",0,"68,1",,Не имеется,,,67,9/28/2017,Не заполнено,Не заполнено,Физический износ,,1261-П,9/30/2019,Имеется,"МУП ""АГБ""",б/н,3/27/2019,Имеется,8,9/17/2019,Имеется,Снос,,9/30/2024,,9/30/2024,17,"398,6",23,,,,1,"27,2",,,обл. Свердловская,ул. 19 Партсъезда,д. 4,,
9111875,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,cae37672-d796-4d18-a785-18a01ac5af29,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,240 км,1,,,,"обл. Свердловская, г. Алапаевск, ул. 240 км, д. 1",0a01436e-36fc-b435-7503-5d5a8bc15e34,,,Эксплуатируемый,1955,1965,брус,Многоквартирный дом,1,1,3,10,"230,2","163,9",0,"66,3",,Не заполнено,,,55,1/12/2004,,,Физический износ,,1523-П,11/8/2017,Имеется,"МУП ""АГБ""",б/н,5/25/2017,Имеется,14,10/17/2017,Имеется,Снос,,,,10/31/2023,7,"163,9",10,,,,,,,,обл. Свердловская,ул. 240 км,д. 1,,
9111876,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,cae37672-d796-4d18-a785-18a01ac5af29,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,240 км,2,,,,"обл. Свердловская, г. Алапаевск, ул. 240 км, д. 2",dae33696-6520-47df-afb1-b7656a55ffe8,,,Эксплуатируемый,1955,1955,брус,Многоквартирный дом,1,1,2,4,"70,4","70,4",0,0,,Не заполнено,,,55,1/12/2004,,,Физический износ,,1522-П,11/8/2017,Имеется,"МУП ""АГБ""",б/н,5/25/2017,Имеется,13,10/17/2017,Имеется,Снос,,,,12/31/2023,2,"70,4",4,,,,,,,,обл. Свердловская,ул. 240 км,д. 2,,
8997823,92b30014-4d52-4e2e-892d-928142b924bf,,a4ab722e-453a-4aed-bb73-728a05e2e27f,00ccecac-190f-404b-ab96-b1442330248b,обл,Свердловская,,г. Алапаевск,г,Алапаевск,ул,3 Интернационала,1,,,,"обл. Свердловская, г. Алапаевск, ул. 3 Интернационала, д. 1",b6415788-75ff-4e4b-af0a-bf1e0d524a9f,66:32:0402005:44,,Эксплуатируемый,,1930,деревянный,Многоквартирный дом,2,2,2,32,"743,6","651,4",0,"92,2",2099,Не имеется,,,60,4/29/1980,,,Физический износ,,2518-П,12/26/2014,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,10/30/2014,Имеется,12,12/19/2014,Имеется,Снос,8/1/2019,9/1/2025,,12/31/2025,24,"651,4",30,,,,,,,,обл. Свердловская,ул. 3 Интернационала,д. 1,,
8933721,92b30014-4d52-4e2e-892d-928142b924bf,,4c6e0818-33a6-496b-aca6-2401afb168d2,9a074856-6754-4d5c-a68c-db54d152ffd9,обл,Свердловская,,г. Алапаевск,п,Асбестовский,ул,Гоголя,9,,,,"обл. Свердловская, г. Алапаевск, п. Асбестовский, ул. Гоголя, д. 9",23868f81-8dd8-401b-8f94-ca99f922db04,66:32:0701002:88,,Эксплуатируемый,1932,1932,деревянный,Многоквартирный дом,2,2,1,11,152,"151,8",0,0,1017,Не имеется,,,70,6/30/1981,Деревянные,Деревянные,Физический износ,,1881-П,10/17/2014,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,6/3/2014,Имеется,8,10/15/2014,Имеется,Снос,8/1/2019,9/1/2025,,12/31/2025,4,"76,7",7,1,37,2,2,"38,1",,,обл. Свердловская,п. Асбестовский,ул. Гоголя,д. 9,
8933728,92b30014-4d52-4e2e-892d-928142b924bf,,4c6e0818-33a6-496b-aca6-2401afb168d2,6c2b0b6b-7177-4974-936e-ae2a6ef0293a,обл,Свердловская,,г. Алапаевск,п,Асбестовский,ул,Горняков,4,,,,"обл. Свердловская, г. Алапаевск, п. Асбестовский, ул. Горняков, д. 4",1776b3af-81e8-4f13-bd1c-eb42745f385c,66:32:0701002:80,,Эксплуатируемый,1936,1936,брус,Многоквартирный дом,2,1,2,29,"543,8","518,8",0,0,3249,Не имеется,,,38,6/12/1965,,,Физический износ,,2406-П,12/29/2015,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,10/27/2015,Имеется,11,12/28/2015,Имеется,Снос,12/29/2019,12/31/2022,,12/31/2023,23,"496,1",20,,,,0,"22,7",,,обл. Свердловская,п. Асбестовский,ул. Горняков,д. 4,
8933729,92b30014-4d52-4e2e-892d-928142b924bf,,4c6e0818-33a6-496b-aca6-2401afb168d2,6c2b0b6b-7177-4974-936e-ae2a6ef0293a,обл,Свердловская,,г. Алапаевск,п,Асбестовский,ул,Горняков,6,,,,"обл. Свердловская, г. Алапаевск, п. Асбестовский, ул. Горняков, д. 6",2fabb449-d835-4c6f-83ca-8ed64537e6c4,66:32:0701002:87,,Эксплуатируемый,1936,1936,брус,Многоквартирный дом,2,2,2,25,"452,3","410,9",0,"41,4",3349,Не имеется,,,35,6/9/1965,,,Физический износ,,2405,12/29/2015,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,10/27/2015,Имеется,12,12/28/2015,Имеется,Снос,12/31/2022,12/31/2023,,12/29/2024,17,"351,7",18,,,,3,"59,2",,,обл. Свердловская,п. Асбестовский,ул. Горняков,д. 6,
8933730,92b30014-4d52-4e2e-892d-928142b924bf,,4c6e0818-33a6-496b-aca6-2401afb168d2,6c2b0b6b-7177-4974-936e-ae2a6ef0293a,обл,Свердловская,,г. Алапаевск,п,Асбестовский,ул,Горняков,8,,,,"обл. Свердловская, г. Алапаевск, п. Асбестовский, ул. Горняков, д. 8",f80bd996-4a3d-4390-8537-c6b94dbedd8f,66:32:0701002:85,,Эксплуатируемый,1936,1936,брус,Многоквартирный дом,2,1,2,20,"461,5","420,1",0,"41,4",2553,Не имеется,,,37,6/7/1965,,,Физический износ,,2404-П,12/29/2015,Имеется,"МУП ""Архитектурно-градостроительное бюро""",б/н,10/27/2015,Имеется,13,12/28/2015,Имеется,Снос,12/29/2020,12/31/2022,,12/31/2023,16,"327,3",18,,,,4,"92,8",,,обл. Свердловская,п. Асбестовский,ул. Горняков,д. 8,
9365083,92b30014-4d52-4e2e-892d-928142b924bf,,4c6e0818-33a6-496b-aca6-2401afb168d2,6c2b0b6b-7177-4974-936e-ae2a6ef0293a,обл,Свердловская,,г. Алапаевск,п,Асбестовский,ул,Горняков,19,,,,"обл. Свердловская, г. Алапаевск, п. Асбестовский, ул. Горняков, д. 19",4e2c82af-66cf-4a4d-ae51-2a6db73480e4,,,Эксплуатируемый,1925,1925,,Многоквартирный дом,1,1,0,6,"213,3","213,3",0,0,,Не имеется,,,100,6/20/2018,,,Физический износ,,1213-П,10/1/2018,Имеется,,б/н,4/26/2018,Имеется,11,9/17/2018,Имеется,Снос,,9/17/2023,,12/31/2024,6,"160,9",6,,,,2,"52,4",,,обл. Свердловская,п. Асбестовский,ул. Горняков,д. 19,
